iter	Passed	Remaining
475	628	692
476	629	690
477	630	688
478	630	686
479	631	684
480	632	682
481	633	680
482	633	678
483	634	676
484	635	674
485	636	672
486	637	671
487	638	670
488	639	668
489	640	667
490	641	665
491	642	663
492	643	661
493	643	659
494	644	657
495	645	655
496	645	653
497	647	652
498	648	650
499	648	648
500	649	646
501	650	644
502	650	643
503	651	641
504	652	639
505	653	638
506	655	637
507	656	635
508	656	633
509	657	631
510	658	629
511	659	628
512	659	626
513	660	624
514	661	622
515	661	620
516	662	618
517	663	617
518	664	615
519	664	613
520	665	611
521	666	610
522	667	608
523	668	607
524	669	605
525	670	604
526	671	602
527	672	600
528	672	599
529	673	597
530	674	595
531	674	593
532	675	591
533	676	590
534	677	588
535	677	586
536	678	585
537	679	583
538	680	581
539	680	579
540	681	578
541	682	576
542	683	575
543	684	573
544	685	572
545	686	570
546	686	568
547	687	566
548	688	565
549	688	563
550	689	561
551	690	560
552	690	558
553	691	556
554	692	554
555	692	553
556	693	551
557	694	549
558	694	548
559	695	546
560	696	544
561	696	543
562	697	541
563	698	540
564	699	538
565	700	536
566	701	535
567	701	533
568	702	532
569	703	530
570	703	528
571	704	527
572	707	527
573	710	527
574	714	528
575	716	527
576	718	526
577	721	526
578	724	526
579	727	526
580	730	526
581	733	526
582	734	525
583	736	524
584	741	526
585	743	525
586	746	525
587	747	523
588	749	523
589	751	522
590	755	523
591	758	523
592	760	522
593	762	521
594	763	519
595	764	518
596	765	516
597	766	515
598	769	515
599	771	514
600	772	513
601	774	511
602	775	510
603	776	509
604	777	507
605	778	506
606	779	504
607	780	503
608	781	501
609	783	500
610	784	499
611	785	498
612	786	496
613	787	494
614	787	493
615	788	491
616	789	489
617	789	488
618	790	486
619	791	484
620	791	483
621	792	481
622	793	480
623	794	478
624	794	476
625	795	475
626	796	473
627	796	471
628	797	470
629	798	469
630	800	468
631	801	466
632	802	465
633	802	463
634	803	461
635	804	460
636	805	458
637	806	457
638	806	455
639	807	454
640	807	452
641	808	450
642	809	449
643	809	447
644	810	446
645	811	444
646	811	442
647	812	441
648	813	440
649	815	438
650	816	437
651	816	435
652	817	434
653	818	432
654	819	431
655	820	430
656	820	428
657	821	427
658	822	425
659	822	423
660	823	422
661	824	420
662	825	419
663	825	417
664	826	416
665	827	414
666	827	413
667	839	417
668	840	415
669	841	414
670	842	413
671	843	411
672	843	410
673	845	409
674	847	407
675	848	406
676	849	405
677	850	403
678	851	402
679	852	400
680	852	399
681	853	397
682	854	396
683	854	394
684	855	393
685	856	391
686	856	390
687	857	388
688	857	387
689	858	385
690	860	384
691	861	383
692	862	382
693	863	380
694	864	379
695	865	377
696	865	376
697	867	375
698	868	373
699	868	372
700	869	370
701	870	369
702	870	367
703	871	366
704	871	364
705	872	363
706	873	361
707	875	361
708	876	359
709	877	358
710	877	356
711	878	355
712	879	353
713	880	352
714	881	351
715	881	349
716	882	348
717	883	346
718	884	345
719	884	344
720	885	342
721	886	341
722	887	339
723	888	338
724	889	337
725	891	336
726	892	335
727	893	333
728	894	332
729	894	331
730	895	329
731	896	328
732	897	326
733	897	325
734	898	324
735	899	322
736	900	321
737	901	319
738	901	318
739	902	317
740	903	315
741	904	314
742	905	313
743	906	312
744	907	310
745	908	309
746	909	308
747	910	306
748	910	305
749	911	303
750	912	302
751	913	301
752	914	299
753	914	298
754	915	297
755	915	295
756	916	294
757	917	292
758	918	291
759	919	290
760	920	289
761	921	287
762	922	286
763	923	285
764	924	283
765	924	282
766	925	281
767	926	279
768	927	278
769	927	277
770	928	275
771	929	274
772	929	273
773	930	271
774	931	270
775	932	269
776	932	267
777	934	266
778	935	265
779	936	264
780	938	263
781	939	261
782	940	260
783	941	259
784	941	257
785	943	256
786	943	255
787	944	254
788	945	252
789	946	251
790	946	250
791	947	248
792	948	247
793	950	246
794	951	245
795	952	244
796	952	242
797	953	241
798	954	240
799	955	238
800	956	237
801	957	236
802	958	235
803	958	233
804	959	232
805	960	231
806	961	229
807	961	228
808	962	227
809	963	225
810	964	224
811	965	223
812	966	222
813	967	221
814	968	219
815	969	218
816	970	217
817	970	216
818	971	214
819	972	213
820	972	212
821	973	210
822	974	209
823	975	208
824	975	206
825	976	205
826	977	204
827	977	203
828	978	201
829	980	200
830	981	199
831	982	198
832	983	197
833	984	195
834	985	194
835	985	193
836	986	192
837	987	190
838	987	189
839	988	188
840	989	187
841	990	185
842	990	184
843	991	183
844	992	182
845	993	180
846	994	179
847	995	178
848	997	177
849	998	176
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1001	169
855	1002	168
856	1003	167
857	1004	166
858	1005	164
859	1005	163
860	1006	162
861	1007	161
862	1007	160
863	1009	158
864	1010	157
865	1011	156
866	1012	155
867	1013	154
868	1014	152
869	1014	151
870	1015	150
871	1016	149
872	1017	147
873	1018	146
874	1018	145
875	1019	144
876	1020	143
877	1021	141
878	1022	140
879	1024	139
880	1026	138
881	1027	137
882	1028	136
883	1029	135
884	1030	133
885	1031	132
886	1032	131
887	1033	130
888	1033	129
889	1034	127
890	1035	126
891	1036	125
892	1037	124
893	1037	123
894	1038	121
895	1040	120
896	1041	119
897	1042	118
898	1043	117
899	1043	115
900	1044	114
901	1045	113
902	1045	112
903	1046	111
904	1047	109
905	1048	108
906	1049	107
907	1049	106
908	1050	105
909	1051	104
910	1052	102
911	1054	101
912	1055	100
913	1056	99
914	1056	98
915	1057	96
916	1058	95
917	1058	94
918	1059	93
919	1060	92
920	1060	90
921	1061	89
922	1062	88
923	1062	87
924	1063	86
925	1064	85
926	1065	83
927	1065	82
928	1066	81
929	1067	80
930	1067	79
931	1068	77
932	1070	76
933	1070	75
934	1071	74
935	1072	73
936	1073	72
937	1073	70
938	1074	69
939	1075	68
940	1076	67
941	1077	66
942	1078	65
943	1079	64
944	1080	62
945	1081	61
946	1081	60
947	1082	59
948	1083	58
949	1085	57
950	1086	55
951	1087	54
952	1088	53
953	1088	52
954	1089	51
955	1090	50
956	1091	49
957	1091	47
958	1092	46
959	1093	45
960	1094	44
961	1094	43
962	1095	42
963	1095	40
964	1096	39
965	1097	38
966	1097	37
967	1098	36
968	1099	35
969	1100	34
970	1101	32
971	1102	31
972	1102	30
973	1103	29
974	1104	28
975	1104	27
976	1105	26
977	1106	24
978	1106	23
979	1107	22
980	1107	21
981	1108	20
982	1109	19
983	1110	18
984	1110	16
985	1111	15
986	1112	14
987	1112	13
988	1113	12
989	1114	11
990	1116	10
991	1117	9
992	1117	7
993	1118	6
994	1119	5
995	1119	4
996	1120	3
997	1121	2
998	1121	1
999	1122	0
